route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
17337,17337,228040,,,0,17337,0,0
17337,17337,228041,,,0,17337,0,0
17337,17337,228042,,,0,17337,0,0
17337,17337,228043,,,0,17337,0,0
17337,17337,228044,,,0,17337,0,0
17337,17337,228045,,,0,17337,0,0
17337,17337,228046,,,0,17337,0,0
17337,17337,228047,,,0,17337,0,0
17337,17337,228048,,,0,17337,0,0
17337,17337,228049,,,0,17337,0,0
17337,17337,228050,,,0,17337,0,0
17337,17337,228051,,,0,17337,0,0
17337,17337,228052,,,0,17337,0,0
17337,17337,228053,,,0,17337,0,0
17337,17337,228054,,,0,17337,0,0
17337,17337,228055,,,0,17337,0,0
17337,17337,228056,,,0,17337,0,0
17337,17337,228057,,,0,17337,0,0
17337,17337,228058,,,0,17337,0,0
17337,17337,228059,,,0,17337,0,0
17337,17337,228060,,,0,17337,0,0
17337,17337,228061,,,0,17337,0,0
17337,17337,228062,,,0,17337,0,0
17337,17337,228063,,,0,17337,0,0
17337,17337,228064,,,0,17337,0,0
17337,17337,228065,,,0,17337,0,0
17337,17337,228066,,,0,17337,0,0
17337,17337,228067,,,0,17337,0,0
17337,17337,228068,,,0,17337,0,0
17337,17337,228069,,,0,17337,0,0
17337,17337,228070,,,0,17337,0,0
17337,17337,228071,,,0,17337,0,0
17337,17337,228072,,,0,17337,0,0
17337,17337,228073,,,0,17337,0,0
17337,17337,228074,,,0,17337,0,0
17337,17337,228075,,,0,17337,0,0
17337,17337,228076,,,0,17337,0,0
17337,17337,228077,,,0,17337,0,0
17337,17337,228078,,,0,17337,0,0
17337,17337,228079,,,0,17337,0,0
17337,17337,228080,,,0,17337,0,0
17337,17337,228081,,,0,17337,0,0
17337,17337,228082,,,0,17337,0,0
17337,17337,228083,,,0,17337,0,0
17337,17337,228084,,,0,17337,0,0
17337,17337,228085,,,0,17337,0,0
17337,17337,228086,,,0,17337,0,0
17337,17337,228087,,,0,17337,0,0
17337,17337,228088,,,0,17337,0,0
17337,17337,228089,,,0,17337,0,0
17337,17337,228141,,,0,17337,0,0
