trip_id,arrival_time,departure_time,stop_id,stop_sequence
228057,11:41:00,11:41:00,5102,3
228057,11:47:00,11:47:00,7713,4
228057,11:48:00,11:48:00,7637,5
228057,11:49:00,11:49:00,7635,6
228057,11:50:00,11:50:00,7715,7
228057,11:52:00,11:52:00,7633,8
228058,11:54:00,11:54:00,7686,1
228058,11:56:00,11:56:00,24483,2
228058,11:59:00,11:59:00,5102,3
228058,12:05:00,12:05:00,7713,4
228058,12:06:00,12:06:00,7637,5
228058,12:07:00,12:07:00,7635,6
228058,12:08:00,12:08:00,7715,7
228058,12:10:00,12:10:00,7633,8
228059,12:12:00,12:12:00,7686,1
228059,12:14:00,12:14:00,24483,2
228059,12:17:00,12:17:00,5102,3
228059,12:23:00,12:23:00,7713,4
228059,12:24:00,12:24:00,7637,5
228059,12:25:00,12:25:00,7635,6
228059,12:26:00,12:26:00,7715,7
228059,12:28:00,12:28:00,7633,8
228060,12:30:00,12:30:00,7686,1
228060,12:32:00,12:32:00,24483,2
228060,12:35:00,12:35:00,5102,3
228060,12:41:00,12:41:00,7713,4
228060,12:42:00,12:42:00,7637,5
228060,12:43:00,12:43:00,7635,6
228060,12:44:00,12:44:00,7715,7
228060,12:46:00,12:46:00,7633,8
228061,12:48:00,12:48:00,7686,1
228061,12:50:00,12:50:00,24483,2
228061,12:53:00,12:53:00,5102,3
228061,12:59:00,12:59:00,7713,4
228061,13:00:00,13:00:00,7637,5
228061,13:01:00,13:01:00,7635,6
228061,13:02:00,13:02:00,7715,7
228061,13:04:00,13:04:00,7633,8
228062,13:06:00,13:06:00,7686,1
228062,13:08:00,13:08:00,24483,2
228062,13:11:00,13:11:00,5102,3
228062,13:15:00,13:15:00,7713,4
228062,13:16:00,13:16:00,7637,5
228062,13:17:00,13:17:00,7635,6
228062,13:18:00,13:18:00,7715,7
228062,13:20:00,13:20:00,7633,8
228063,13:22:00,13:22:00,7686,1
228063,13:24:00,13:24:00,24483,2
228063,13:27:00,13:27:00,5102,3
228063,13:31:00,13:31:00,7713,4
228063,13:32:00,13:32:00,7637,5
228063,13:33:00,13:33:00,7635,6
228063,13:34:00,13:34:00,7715,7
228063,13:36:00,13:36:00,7633,8
228064,13:38:00,13:38:00,7686,1
228064,13:40:00,13:40:00,24483,2
228064,13:43:00,13:43:00,5102,3
228064,13:47:00,13:47:00,7713,4
228064,13:48:00,13:48:00,7637,5
228064,13:49:00,13:49:00,7635,6
228064,13:50:00,13:50:00,7715,7
228064,13:52:00,13:52:00,7633,8
228065,13:54:00,13:54:00,7686,1
228065,13:56:00,13:56:00,24483,2
228065,13:59:00,13:59:00,5102,3
228065,14:03:00,14:03:00,7713,4
228065,14:04:00,14:04:00,7637,5
228065,14:05:00,14:05:00,7635,6
228065,14:06:00,14:06:00,7715,7
228065,14:08:00,14:08:00,7633,8
228066,14:10:00,14:10:00,7686,1
228066,14:12:00,14:12:00,24483,2
228066,14:15:00,14:15:00,5102,3
228066,14:19:00,14:19:00,7713,4
228066,14:20:00,14:20:00,7637,5
228066,14:21:00,14:21:00,7635,6
228066,14:22:00,14:22:00,7715,7
228066,14:24:00,14:24:00,7633,8
228067,14:26:00,14:26:00,7686,1
228067,14:28:00,14:28:00,24483,2
228067,14:31:00,14:31:00,5102,3
228067,14:35:00,14:35:00,7713,4
228067,14:36:00,14:36:00,7637,5
228067,14:37:00,14:37:00,7635,6
228067,14:38:00,14:38:00,7715,7
228067,14:40:00,14:40:00,7633,8
228068,14:42:00,14:42:00,7686,1
228068,14:44:00,14:44:00,24483,2
228068,14:47:00,14:47:00,5102,3
228068,14:51:00,14:51:00,7713,4
